Direction,Source Device,Destination Device,Packet Size
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,ledvance,48
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,motion_sensor,coordinator,53
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,53
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,53
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,53
receive,motion_sensor,coordinator,52
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,motion_sensor,coordinator,53
receive,ledvance,coordinator,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,ledvance,coordinator,52
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,47
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,52
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,47
send,coordinator,osram,45
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,52
send,coordinator,osram,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,45
receive,motion_sensor,coordinator,53
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
send,coordinator,ledvance,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,52
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,motion_sensor,coordinator,52
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,57
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,53
receive,ledvance,coordinator,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,53
receive,ledvance,coordinator,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,47
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,ledvance,48
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,48
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,motion_sensor,coordinator,53
receive,motion_sensor,coordinator,52
receive,motion_sensor,coordinator,53
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,45
receive,osram,coordinator,47
send,coordinator,osram,45
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,motion_sensor,coordinator,53
receive,osram,coordinator,47
receive,osram,coordinator,47
send,coordinator,ledvance,51
receive,osram,coordinator,52
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
send,coordinator,ledvance,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,68
receive,ledvance,coordinator,51
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
send,coordinator,ledvance,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,52
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,50
send,coordinator,motion_sensor,50
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,54
receive,ledvance,coordinator,77
send,coordinator,motion_sensor,54
send,coordinator,motion_sensor,50
send,coordinator,motion_sensor,50
send,coordinator,motion_sensor,50
send,coordinator,motion_sensor,50
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,57
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
receive,motion_sensor,coordinator,45
send,coordinator,motion_sensor,60
receive,motion_sensor,coordinator,57
receive,ledvance,coordinator,55
receive,motion_sensor,coordinator,45
receive,ledvance,coordinator,57
send,coordinator,ledvance,45
receive,ledvance,coordinator,77
receive,ledvance,coordinator,77
send,coordinator,ledvance,51
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,motion_sensor,60
receive,motion_sensor,coordinator,57
receive,ledvance,coordinator,55
receive,motion_sensor,coordinator,45
receive,ledvance,coordinator,57
send,coordinator,ledvance,45
receive,ledvance,coordinator,55
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
send,coordinator,osram,51
receive,osram,coordinator,47
receive,osram,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
receive,osram,coordinator,47
receive,osram,coordinator,50
send,coordinator,osram,45
send,coordinator,ledvance,48
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,55
receive,ledvance,coordinator,50
receive,ledvance,coordinator,45
receive,ledvance,coordinator,52
receive,ledvance,coordinator,52
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,45
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
send,coordinator,ledvance,50
receive,ledvance,coordinator,55
receive,ledvance,coordinator,45
receive,osram,coordinator,47
receive,osram,coordinator,52
send,coordinator,osram,48
receive,osram,coordinator,47
